"uid","username","home_school","away_school","actual_home_score","actual_away_score","home_score","home_nickname","away_score","away_nickname","points","timestamp"
"10","82lsju","Stanford","Colgate","41","10","31",NULL,"14",NULL,"16","2022-08-24 09:01:14"
"12","81alum","Stanford","Colgate","41","10","21",NULL,"17",NULL,"2","2022-08-23 07:10:41"
"28","GoodGrief","Stanford","Colgate","41","10","45","Frosty Divine Saturn","6","Taco Gel","37","2022-09-02 12:49:55"
"29","JeffInCorvallis","Stanford","Colgate","41","10","31","Trough","19","Crest","9","2022-08-22 12:29:22"
"31","Leftcoast","Stanford","Colgate","41","10","41","Alma Mater of the 5th","6","4 out of 5 Dentist's choice","52","2022-09-02 14:44:01"
"33","Mick","Stanford","Colgate","41","10","41","Andy Kerr, 1922-23","17","Andy Kerr, 1929-46","45","2022-08-20 12:19:00"
"46","akiddoc","Stanford","Colgate","41","10","38",NULL,"9",NULL,"48","2022-08-23 06:31:05"
"56","fullmetal","Stanford","Colgate","41","10","40","Evergreen hope","13","Toothpaste","48","2022-08-29 13:44:54"
"58","george","Stanford","Colgate","41","10","27",NULL,"14",NULL,"10","2022-08-20 14:49:15"
"61","Renaissance Man","Stanford","Colgate","41","10","35",NULL,"0",NULL,"13","2022-08-22 17:59:17"
"66","pefloresjr","Stanford","Colgate","41","10","37",NULL,"13",NULL,"40","2022-09-02 17:07:28"
"78","Extra Point","Stanford","Colgate","41","10","38",NULL,"10",NULL,"54","2022-08-27 09:20:35"
"85","JohnR34231","Stanford","Colgate","41","10","48",NULL,"13",NULL,"32","2022-08-22 06:16:48"
"90","CompSci87","Stanford","Colgate","41","10","41",NULL,"10",NULL,"65","2022-08-20 13:00:00"
"101","Hurlburt88","Stanford","Colgate","41","10","45",NULL,"3",NULL,"25","2022-08-21 13:52:17"
"118","pcgoode","Stanford","Colgate","41","10","48",NULL,"3",NULL,"16","2022-08-20 21:03:26"
"125","vataha","Stanford","Colgate","41","10","38",NULL,"13",NULL,"45","2022-08-30 17:51:51"
"133","pokey","Stanford","Colgate","41","10","56",NULL,"6",NULL,"9","2022-08-30 21:26:13"
"150","Publius","Stanford","Colgate","41","10","44","University","3","Palmolive","32","2022-08-30 21:26:23"
"196","Langdude","Stanford","Colgate","41","10","41","Alma mater of John Ehrlichman","13","Alma mater of John Dean","54","2022-09-02 00:00:00"
"208","indiancardinal","Stanford","Colgate","41","10","49",NULL,"9",NULL,"34","2022-08-21 03:49:27"
"211","martyup","Stanford","Colgate","41","10","50","Cardivors","0","SoFreshAndSoClean","9","2022-08-22 10:23:05"
"235","Cowboy1","Stanford","Colgate","41","10","32",NULL,"17",NULL,"13","2022-08-29 06:39:19"
